smiles,standard_type,value,units,chembl_id,document_chembl_id,data_validity_comment,activity_comment,warning_flag,CuratedSmiles,IsSalt,FailedSanit,Neutralized
CNc1ccc(C#CC[C@H](NS(=O)(=O)c2ccc3c(c2)CCCC3)C(=O)N(C)C2CCCC2)cc1,Ki,1900.0,nM,CHEMBL7587,CHEMBL1132084,,,False,CNc1ccc(C#CC[C@H](NS(=O)(=O)c2ccc3c(c2)CCCC3)C(=O)N(C)C2CCCC2)cc1,False,False,False
CNc1ccc(C#CC[C@H](NS(=O)(=O)c2ccc3cc(OC)ccc3c2)C(=O)N(C)C2CCCC2)cc1,Ki,14000.0,nM,CHEMBL7758,CHEMBL1132084,,,False,CNc1ccc(C#CC[C@H](NS(=O)(=O)c2ccc3cc(OC)ccc3c2)C(=O)N(C)C2CCCC2)cc1,False,False,False
CCCc1ccc(S(=O)(=O)N[C@@H](CC#Cc2ccc(NC)cc2)C(=O)N(C)C2CCCC2)cc1,Ki,6600.0,nM,CHEMBL553108,CHEMBL1132084,,,False,CCCc1ccc(S(=O)(=O)N[C@@H](CC#Cc2ccc(NC)cc2)C(=O)N(C)C2CCCC2)cc1,False,False,False
CCc1cccc(/C=C/[C@H]2[C@@H]3CCCC[C@H]3C[C@H]3C(=O)O[C@H](C)[C@@H]23)n1,Ki,12.0,nM,CHEMBL197791,CHEMBL1141080,,,False,CCc1cccc(/C=C/[C@H]2[C@@H]3CCCC[C@H]3C[C@H]3C(=O)O[C@H](C)[C@@H]23)n1,False,False,False
C[C@H]1OC(=O)[C@@H]2C[C@@H]3CCCC[C@H]3[C@H](/C=C/c3ccc(-c4cccc(C(F)(F)F)c4)cn3)[C@H]12,Ki,2.7,nM,CHEMBL371069,CHEMBL1141080,,,False,C[C@H]1OC(=O)[C@@H]2C[C@@H]3CCCC[C@H]3[C@H](/C=C/c3ccc(-c4cccc(C(F)(F)F)c4)cn3)[C@H]12,False,False,False
C[C@H]1OC(=O)[C@@H]2C[C@@H]3C[C@H](O)CC[C@H]3[C@H](/C=C/c3ccc(-c4cccc(C(F)(F)F)c4)cn3)[C@H]12,Ki,11.0,nM,CHEMBL218933,CHEMBL1139225,,,False,C[C@H]1OC(=O)[C@@H]2C[C@@H]3C[C@H](O)CC[C@H]3[C@H](/C=C/c3ccc(-c4cccc(C(F)(F)F)c4)cn3)[C@H]12,False,False,False
CCOC(=O)N1CC[C@@H]2[C@H](C[C@H]3C(=O)O[C@H](C)[C@H]3[C@H]2/C=C/c2ccc(-c3cccc(F)c3)cn2)C1,Ki,4.3,nM,CHEMBL390630,CHEMBL1148816,,,False,CCOC(=O)N1CC[C@@H]2[C@H](C[C@H]3C(=O)O[C@H](C)[C@H]3[C@H]2/C=C/c2ccc(-c3cccc(F)c3)cn2)C1,False,False,False
C[C@H]1OC(=O)[C@@H]2C[C@@H]3C[C@H](N)CC[C@H]3[C@H](/C=C/c3ccc(-c4cccc(F)c4)cn3)[C@H]12,Ki,20.0,nM,CHEMBL498785,CHEMBL1150318,,,False,C[C@H]1OC(=O)[C@@H]2C[C@@H]3C[C@H](N)CC[C@H]3[C@H](/C=C/c3ccc(-c4cccc(F)c4)cn3)[C@H]12,False,False,False
CCOC(=O)N[C@@H]1CC[C@@H]2[C@@H](C1)C[C@H]1C(=O)O[C@H](C)[C@H]1[C@H]2/C=C/c1ccc(-c2cccc(C)c2F)cn1,Ki,11.0,nM,CHEMBL507697,CHEMBL1150318,,,False,CCOC(=O)N[C@@H]1CC[C@@H]2[C@@H](C1)C[C@H]1C(=O)O[C@H](C)[C@H]1[C@H]2/C=C/c1ccc(-c2cccc(C)c2F)cn1,False,False,False
CCOC(=O)N[C@@H]1CC[C@@H]2[C@@H](C1)C[C@H]1C(=O)O[C@H](C)[C@H]1[C@H]2/C=C/c1ccc(-c2cc(F)cc(F)c2)cn1,Ki,5.9,nM,CHEMBL458264,CHEMBL1150318,,,False,CCOC(=O)N[C@@H]1CC[C@@H]2[C@@H](C1)C[C@H]1C(=O)O[C@H](C)[C@H]1[C@H]2/C=C/c1ccc(-c2cc(F)cc(F)c2)cn1,False,False,False
