smiles,exp_mean,exp_std,exp_sem,no.entries,no.outliers,standard_types,chembl_id,chembl_id_doc
CC(C)C[C@H](NC(=O)[C@@H]1CCCN1)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(N)=O)C(N)=O)[C@H](C)O,6670.0,0.0,0.0,1,0,Ki,CHEMBL267823,CHEMBL1148527
CC(C)(C)C[C@H]1N[C@@H](C(=O)NCCN2CCCCC2)[C@H](c2cccc(Cl)c2F)[C@@]12C(=O)Nc1cc(Cl)ccc12,39.0,0.0,0.0,1,0,Ki,CHEMBL409889,CHEMBL1148527
CC(C)(C)C[C@@H]1N[C@H](C(=O)NCCN2CCOCC2)[C@@H](c2cccc(Cl)c2F)[C@]12C(=O)Nc1cc(Cl)ccc12,4000.0,0.0,0.0,1,0,Ki,CHEMBL378638,CHEMBL1148527
CC(C)(C)C[C@H]1N[C@@H](C(=O)NCCN2CCOCC2)[C@H](c2cccc(Cl)c2F)[C@@]12C(=O)Nc1cc(Cl)ccc12,2.35,0.65,0.4596194077712559,2,0,Ki,CHEMBL379173,"CHEMBL1148527,CHEMBL1154717"
CN(C)C(=O)[C@@H]1N[C@H](CC(C)(C)C)[C@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cc(F)cc(Cl)c1,44.0,0.0,0.0,1,0,Ki,CHEMBL210789,CHEMBL1148527
CN(C)C(=O)[C@@H]1N[C@H](CC(C)(C)C)[C@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1ccc(F)c(Cl)c1,170.0,0.0,0.0,1,0,Ki,CHEMBL377775,CHEMBL1148527
CN(C)C(=O)[C@@H]1N[C@H](CC(C)(C)C)[C@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F,38.0,0.0,0.0,1,0,Ki,CHEMBL210611,CHEMBL1148527
CC(C)(C)C[C@H]1N[C@@H](C(=O)NCCN2CCOCC2)[C@H](c2cccc(Cl)c2)[C@@]12C(=O)Nc1cc(Cl)ccc12,13.0,0.0,0.0,1,0,Ki,CHEMBL379505,CHEMBL1148527
Cc1ccc2ccc(C(Nc3ccccc3)c3ccccc3)c(O)c2n1,120.0,0.0,0.0,1,0,Ki,CHEMBL210778,CHEMBL1138059
CC(C)(C)C[C@H]1N[C@@H](C(=O)NCC[C@H](O)CO)[C@H](c2cccc(Cl)c2F)[C@@]12C(=O)Nc1cc(Cl)ccc12,0.6,0.0,0.0,1,0,Ki,CHEMBL578028,CHEMBL1154717
COCCOCCNC(=O)[C@@H]1N[C@H](CC(C)(C)C)[C@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F,0.8,0.0,0.0,1,0,Ki,CHEMBL575538,CHEMBL1154717
CN1CCN(CCNC(=O)[C@@H]2N[C@H](CC(C)(C)C)[C@]3(C(=O)Nc4cc(Cl)ccc43)[C@H]2c2cccc(Cl)c2F)CC1,1.5,0.0,0.0,1,0,Ki,CHEMBL577393,CHEMBL1154717
CC(C)(C)C[C@H]1N[C@@H](C(=O)NCC[C@H](O)CO)[C@H](c2cccc(Cl)c2)[C@@]12C(=O)Nc1cc(Cl)ccc12,4.0,0.0,0.0,1,0,Ki,CHEMBL578238,CHEMBL1154717
CN1CCC(CCNC(=O)[C@@H]2N[C@H](CC(C)(C)C)[C@]3(C(=O)Nc4cc(Cl)ccc43)[C@H]2c2cccc(Cl)c2F)CC1,2.0,0.0,0.0,1,0,Ki,CHEMBL575121,CHEMBL1154717
CC(C)(C)C[C@H]1N[C@@H](C(=O)NCC[C@@H](O)CO)[C@H](c2cccc(Cl)c2)[C@@]12C(=O)Nc1cc(Cl)c(F)cc12,13.3,0.0,0.0,3,1,Ki,CHEMBL576342,CHEMBL4350977
CC(C)(C)C[C@H]1N[C@@H](C(=O)NC[C@H](O)CO)[C@H](c2cccc(Cl)c2)[C@@]12C(=O)Nc1cc(Cl)c(F)cc12,15.4,0.0,0.0,1,0,Ki,CHEMBL566955,CHEMBL1154717
CC(C)(C)C[C@H]1N[C@@H](C(=O)NCC[C@H](O)CO)[C@H](c2cccc(Cl)c2)[C@@]12C(=O)Nc1cc(Cl)c(F)cc12,13.025,6.717653980371421,3.3588269901857104,4,0,Ki,CHEMBL572933,"CHEMBL1154717,CHEMBL2086350,CHEMBL2396650,CHEMBL3407475"
COC(=O)C(c1ccc(Cl)cc1)N1C(=O)c2ccc(Cl)cc2NC(=S)C1c1ccc(Cl)cc1,1370.0,0.0,0.0,1,0,Ki,CHEMBL2089149,CHEMBL2086350
COC(=O)C(c1ccc(Cl)cc1)N1C(=O)c2cc(Cl)ccc2NC(=S)C1c1ccc(Cl)cc1,721.0,0.0,0.0,1,0,Ki,CHEMBL2089151,CHEMBL2086350
COC(=O)C(c1ccc(Cl)cc1)N1C(=O)c2ccc(F)cc2NC(=S)C1c1ccc(Cl)cc1,707.0,0.0,0.0,1,0,Ki,CHEMBL2089152,CHEMBL2086350
COC(=O)C(c1ccc(F)cc1)N1C(=O)c2ccc(Cl)cc2NC(=S)C1c1ccc(F)cc1,1720.0,0.0,0.0,1,0,Ki,CHEMBL2089200,CHEMBL2086350
COC(=O)C(c1ccc(F)cc1)N1C(=O)c2cc(Cl)ccc2NC(=S)C1c1ccc(Cl)cc1,315.0,0.0,0.0,1,0,Ki,CHEMBL2089201,CHEMBL2086350
COC(=O)C(c1ccc(Cl)cc1)N1C(=O)c2cccc(OC)c2NC(=S)C1c1ccc(Cl)cc1,8180.0,0.0,0.0,1,0,Ki,CHEMBL2089202,CHEMBL2086350
COC(=O)C(c1ccc(Cl)cc1)N1C(=O)c2ccc(C(F)(F)F)cc2NC(=S)C1c1ccc(Cl)cc1,91.0,0.0,0.0,2,0,Ki,CHEMBL2089203,"CHEMBL2086350,CHEMBL4350977"
COC(=O)C(c1ccc(F)cc1)N1C(=O)c2ccc(C(F)(F)F)cc2NC(=S)C1c1ccc(Cl)cc1,3020.0,0.0,0.0,1,0,Ki,CHEMBL2089204,CHEMBL2086350
COC(=O)C(c1ccc(Cl)cc1)N1C(=O)c2cc(C)ccc2NC(=S)C1c1ccc(Cl)cc1,37700.0,0.0,0.0,1,0,Ki,CHEMBL2089207,CHEMBL2086350
COC(=O)C(c1ccc(Cl)cc1)N1C(=O)c2cc(F)ccc2NC(=S)C1c1ccc(Cl)cc1,89.0,0.0,0.0,2,0,Ki,CHEMBL2089208,"CHEMBL2086350,CHEMBL4350977"
COC(=O)C(c1ccc(F)cc1)N1C(=O)c2ccc(F)cc2NC(=S)C1c1ccc(Cl)cc1,1050.0,0.0,0.0,1,0,Ki,CHEMBL2089209,CHEMBL2086350
COC(=O)C(c1ccc(Cl)cc1)N1C(=O)c2ccc(Br)cc2NC(=S)C1c1ccc(Cl)cc1,3980.0,0.0,0.0,1,0,Ki,CHEMBL2089210,CHEMBL2086350
COC(=O)C(c1ccc(Cl)cc1)N1C(=O)c2ccc(Cl)cc2NC(=S)C1c1ccc(C(F)(F)F)cc1,518.0,0.0,0.0,1,0,Ki,CHEMBL2089211,CHEMBL2086350
COC(=O)C(c1ccc(Cl)cc1)N1C(=O)c2ccc(Cl)cc2NC(=S)C1c1ccc(OC)cc1,11900.0,0.0,0.0,1,0,Ki,CHEMBL2089320,CHEMBL2086350
CCOC(=O)CSC1=Nc2cc(OC)ccc2C(=O)N(C(C(=O)OC)c2ccc(Cl)cc2)C1c1ccc(Cl)cc1,21100.0,0.0,0.0,1,0,Ki,CHEMBL2089322,CHEMBL2086350
COC(=O)C(c1ccc(Cl)cc1)N1C(=O)c2ccc(NCc3ccc(C(F)(F)F)cc3)cc2NC(=S)C1c1ccc(Cl)cc1,6700.0,0.0,0.0,1,0,Ki,CHEMBL1909836,CHEMBL2086350
CC(C)(C)C[C@@H]1N[C@@H](C(=O)N[C@H]2CC[C@H](O)CC2)[C@H](c2cccc(Cl)c2F)[C@]12C(=O)Nc1cc(Cl)ccc12,0.9220000000000003,0.126,0.03984469851812158,11,1,Ki,CHEMBL2381408,"CHEMBL3407475,CHEMBL4000211,CHEMBL4265913,CHEMBL4265957,CHEMBL4350988,CHEMBL4680279,CHEMBL5029175,CHEMBL5375985,CHEMBL5512606,CHEMBL5512651"
O=C(NCCc1ccccc1)C(Cc1ccccc1)n1c(=O)[nH]c2cc(Cl)ccc21,60000.0,0.0,0.0,1,0,Ki,CHEMBL2396746,CHEMBL2396572
O=C(NC1CCCCC1)C(c1ccc(Br)cc1)n1c(=O)[nH]c2cc(Cl)ccc21,54000.0,0.0,0.0,1,0,Ki,CHEMBL2396756,CHEMBL2396572
